Exclusion report for column 2
==================================================
Symbol: AADEX, Reason: Symbol AADEX dropped price, min and avg volume.
Symbol: AAHTX, Reason: Symbol AAHTX dropped price, min and avg volume.
Symbol: AALTX, Reason: Symbol AALTX dropped price, min and avg volume.
Symbol: AARTX, Reason: Symbol AARTX dropped price, min and avg volume.
Symbol: ABLOX, Reason: Symbol ABLOX dropped price, min and avg volume.
Symbol: ACCNX, Reason: Symbol ACCNX dropped price, min and avg volume.
Symbol: ACITX, Reason: Symbol ACITX dropped price, min and avg volume.
Symbol: ACSMX, Reason: Symbol ACSMX dropped price, min and avg volume.
Symbol: ACSNX, Reason: Symbol ACSNX dropped price, min and avg volume.
Symbol: ACUSX, Reason: Symbol ACUSX dropped price, min and avg volume.
Symbol: ADFIX, Reason: Symbol ADFIX dropped price, min and avg volume.
Symbol: AEGFX, Reason: Symbol AEGFX dropped price, min and avg volume.
Symbol: AEMGX, Reason: Symbol AEMGX dropped price, min and avg volume.
Symbol: AEMZX, Reason: Symbol AEMZX dropped price, min and avg volume.
Symbol: AFIFX, Reason: Symbol AFIFX dropped price, min and avg volume.
Symbol: AFOIX, Reason: Symbol AFOIX dropped price, min and avg volume.
Symbol: AGBVX, Reason: Symbol AGBVX dropped price, min and avg volume.
Symbol: AGLOX, Reason: Symbol AGLOX dropped price, min and avg volume.
Symbol: AHLIX, Reason: Symbol AHLIX dropped price, min and avg volume.
Symbol: AHTFX, Reason: Symbol AHTFX dropped price, min and avg volume.
Symbol: AICCX, Reason: Symbol AICCX dropped price, min and avg volume.
Symbol: AICFX, Reason: Symbol AICFX dropped price, min and avg volume.
Symbol: AIDYX, Reason: Symbol AIDYX dropped price, min and avg volume.
Symbol: AINTX, Reason: Symbol AINTX dropped price, min and avg volume.
Symbol: AIOIX, Reason: Symbol AIOIX dropped price, min and avg volume.
Symbol: AIVSX, Reason: Symbol AIVSX dropped price, min and avg volume.
Symbol: ALVIX, Reason: Symbol ALVIX dropped price, min and avg volume.
Symbol: AMCPX, Reason: Symbol AMCPX dropped price, min and avg volume.
Symbol: ANCFX, Reason: Symbol ANCFX dropped price, min and avg volume.
Symbol: ANEFX, Reason: Symbol ANEFX dropped price, min and avg volume.
Symbol: ANIAX, Reason: Symbol ANIAX dropped price, min and avg volume.
Symbol: AOCIX, Reason: Symbol AOCIX dropped price, min and avg volume.
Symbol: AOGIX, Reason: Symbol AOGIX dropped price, min and avg volume.
Symbol: AOMIX, Reason: Symbol AOMIX dropped price, min and avg volume.
Symbol: AONIX, Reason: Symbol AONIX dropped price, min and avg volume.
Symbol: AOOIX, Reason: Symbol AOOIX dropped price, min and avg volume.
Symbol: AOTIX, Reason: Symbol AOTIX dropped price, min and avg volume.
Symbol: AOVIX, Reason: Symbol AOVIX dropped price, min and avg volume.
Symbol: ARCVX, Reason: Symbol ARCVX dropped price, min and avg volume.
Symbol: ARDVX, Reason: Symbol ARDVX dropped price, min and avg volume.
Symbol: AREVX, Reason: Symbol AREVX dropped price, min and avg volume.
Symbol: ARFFX, Reason: Symbol ARFFX dropped price, min and avg volume.
Symbol: ARFVX, Reason: Symbol ARFVX dropped price, min and avg volume.
Symbol: ARGVX, Reason: Symbol ARGVX dropped price, min and avg volume.
Symbol: ARHVX, Reason: Symbol ARHVX dropped price, min and avg volume.
Symbol: AROIX, Reason: Symbol AROIX dropped price, min and avg volume.
Symbol: ARTOX, Reason: Symbol ARTOX dropped price, min and avg volume.
Symbol: ARTQX, Reason: Symbol ARTQX dropped price, min and avg volume.
Symbol: ARWIX, Reason: Symbol ARWIX dropped price, min and avg volume.
Symbol: ARYIX, Reason: Symbol ARYIX dropped price, min and avg volume.
Symbol: ARYVX, Reason: Symbol ARYVX dropped price, min and avg volume.
Symbol: ATBYX, Reason: Symbol ATBYX dropped price, min and avg volume.
Symbol: AUERX, Reason: Symbol AUERX dropped price, min and avg volume.
Symbol: AUUCX, Reason: Symbol AUUCX dropped price, min and avg volume.
Symbol: AWSHX, Reason: Symbol AWSHX dropped price, min and avg volume.
Symbol: BACAX, Reason: Symbol BACAX dropped price, min and avg volume.
Symbol: BACPX, Reason: Symbol BACPX dropped price, min and avg volume.
Symbol: BAGAX, Reason: Symbol BAGAX dropped price, min and avg volume.
Symbol: BAGSX, Reason: Symbol BAGSX dropped price, min and avg volume.
Symbol: BALFX, Reason: Symbol BALFX dropped price, min and avg volume.
Symbol: BALPX, Reason: Symbol BALPX dropped price, min and avg volume.
Symbol: BAMPX, Reason: Symbol BAMPX dropped price, min and avg volume.
Symbol: BASAX, Reason: Symbol BASAX dropped price, min and avg volume.
Symbol: BASOX, Reason: Symbol BASOX dropped price, min and avg volume.
Symbol: BAWAX, Reason: Symbol BAWAX dropped price, min and avg volume.
Symbol: BBBIX, Reason: Symbol BBBIX dropped price, min and avg volume.
Symbol: BBCPX, Reason: Symbol BBCPX dropped price, min and avg volume.
Symbol: BBGLX, Reason: Symbol BBGLX dropped price, min and avg volume.
Symbol: BBGSX, Reason: Symbol BBGSX dropped price, min and avg volume.
Symbol: BCHYX, Reason: Symbol BCHYX dropped price, min and avg volume.
Symbol: BCITX, Reason: Symbol BCITX dropped price, min and avg volume.
Symbol: BCSAX, Reason: Symbol BCSAX dropped price, min and avg volume.
Symbol: BDHIX, Reason: Symbol BDHIX dropped price, min and avg volume.
Symbol: BDKNX, Reason: Symbol BDKNX dropped price, min and avg volume.
Symbol: BEXFX, Reason: Symbol BEXFX dropped price, min and avg volume.
Symbol: BEXIX, Reason: Symbol BEXIX dropped price, min and avg volume.
Symbol: BGAFX, Reason: Symbol BGAFX dropped price, min and avg volume.
Symbol: BGAIX, Reason: Symbol BGAIX dropped price, min and avg volume.
Symbol: BGEIX, Reason: Symbol BGEIX dropped price, min and avg volume.
Symbol: BGLYX, Reason: Symbol BGLYX dropped price, min and avg volume.
Symbol: BGNMX, Reason: Symbol BGNMX dropped price, min and avg volume.
Symbol: BGSAX, Reason: Symbol BGSAX dropped price, min and avg volume.
Symbol: BHBFX, Reason: Symbol BHBFX dropped price, min and avg volume.
Symbol: BHSRX, Reason: Symbol BHSRX dropped price, min and avg volume.
Symbol: BHYIX, Reason: Symbol BHYIX dropped price, min and avg volume.
Symbol: BIAGX, Reason: Symbol BIAGX dropped price, min and avg volume.
Symbol: BIASX, Reason: Symbol BIASX dropped price, min and avg volume.
Symbol: BIAWX, Reason: Symbol BIAWX dropped price, min and avg volume.
Symbol: BIMSX, Reason: Symbol BIMSX dropped price, min and avg volume.
Symbol: BIRAX, Reason: Symbol BIRAX dropped price, min and avg volume.
Symbol: BLPFX, Reason: Symbol BLPFX dropped price, min and avg volume.
Symbol: BMGAX, Reason: Symbol BMGAX dropped price, min and avg volume.
Symbol: BMGCX, Reason: Symbol BMGCX dropped price, min and avg volume.
Symbol: BMGKX, Reason: Symbol BMGKX dropped price, min and avg volume.
Symbol: BMRRX, Reason: Symbol BMRRX dropped price, min and avg volume.
Symbol: BPGIX, Reason: Symbol BPGIX dropped price, min and avg volume.
Symbol: BPRRX, Reason: Symbol BPRRX dropped price, min and avg volume.
Symbol: BREIX, Reason: Symbol BREIX dropped price, min and avg volume.
Symbol: BRHYX, Reason: Symbol BRHYX dropped price, min and avg volume.
Symbol: BSBSX, Reason: Symbol BSBSX dropped price, min and avg volume.
Symbol: BTCFX, Reason: Symbol BTCFX dropped price, min and avg volume.
Symbol: BUFHX, Reason: Symbol BUFHX dropped price, min and avg volume.
Symbol: BXEAX, Reason: Symbol BXEAX dropped price, min and avg volume.
Symbol: BXEYX, Reason: Symbol BXEYX dropped price, min and avg volume.
Symbol: BXMYX, Reason: Symbol BXMYX dropped price, min and avg volume.
Symbol: CAEAX, Reason: Symbol CAEAX dropped price, min and avg volume.
Symbol: CAEIX, Reason: Symbol CAEIX dropped price, min and avg volume.
Symbol: CAGEX, Reason: Symbol CAGEX dropped price, min and avg volume.
Symbol: CAIBX, Reason: Symbol CAIBX dropped price, min and avg volume.
Symbol: CALRX, Reason: Symbol CALRX dropped price, min and avg volume.
Symbol: CAMMX, Reason: Symbol CAMMX dropped price, min and avg volume.
Symbol: CAMOX, Reason: Symbol CAMOX dropped price, min and avg volume.
Symbol: CAMSX, Reason: Symbol CAMSX dropped price, min and avg volume.
Symbol: CBTAX, Reason: Symbol CBTAX dropped price, min and avg volume.
Symbol: CCALX, Reason: Symbol CCALX dropped price, min and avg volume.
Symbol: CDHAX, Reason: Symbol CDHAX dropped price, min and avg volume.
Symbol: CDHIX, Reason: Symbol CDHIX dropped price, min and avg volume.
Symbol: CDHRX, Reason: Symbol CDHRX dropped price, min and avg volume.
Symbol: CEMDX, Reason: Symbol CEMDX dropped price, min and avg volume.
Symbol: CEYIX, Reason: Symbol CEYIX dropped price, min and avg volume.
Symbol: CEYRX, Reason: Symbol CEYRX dropped price, min and avg volume.
Symbol: CFNAX, Reason: Symbol CFNAX dropped price, min and avg volume.
Symbol: CFSIX, Reason: Symbol CFSIX dropped price, min and avg volume.
Symbol: CFVLX, Reason: Symbol CFVLX dropped price, min and avg volume.
Symbol: CGJAX, Reason: Symbol CGJAX dropped price, min and avg volume.
Symbol: CGJIX, Reason: Symbol CGJIX dropped price, min and avg volume.
Symbol: CHCLX, Reason: Symbol CHCLX dropped price, min and avg volume.
Symbol: CIBFX, Reason: Symbol CIBFX dropped price, min and avg volume.
Symbol: CICAX, Reason: Symbol CICAX dropped price, min and avg volume.
